exp11_11_2,Number of Total Clusters
Area of Cluster497,6.0
Area of Cluster498,6.0
Area of Cluster499,6.0
Area of Cluster500,6.0
Area of Cluster501,6.0
Area of Cluster502,6.0
Area of Cluster503,6.0
Area of Cluster504,6.5
Area of Cluster505,6.5
Area of Cluster506,6.5
Area of Cluster507,6.5
Area of Cluster508,6.5
Area of Cluster509,6.5
Area of Cluster510,6.5
Area of Cluster511,6.5
Area of Cluster512,7.0
Area of Cluster513,7.0
Area of Cluster514,7.0
Area of Cluster515,7.0
Area of Cluster516,7.0
Area of Cluster517,7.0
Area of Cluster518,7.0
Area of Cluster519,7.0
Area of Cluster520,7.0
Area of Cluster521,7.0
Area of Cluster522,7.0
Area of Cluster523,7.0
Area of Cluster524,7.0
Area of Cluster525,7.0
Area of Cluster526,7.0
Area of Cluster527,7.0
Area of Cluster528,7.0
Area of Cluster529,7.0
Area of Cluster530,7.5
Area of Cluster531,7.5
Area of Cluster532,7.5
Area of Cluster533,7.5
Area of Cluster534,7.5
Area of Cluster535,7.5
Area of Cluster536,7.5
Area of Cluster537,8.0
Area of Cluster538,8.0
Area of Cluster539,8.0
Area of Cluster540,8.0
Area of Cluster541,8.0
Area of Cluster542,8.0
Area of Cluster543,8.5
Area of Cluster544,8.5
Area of Cluster545,8.5
Area of Cluster546,8.5
Area of Cluster547,8.5
Area of Cluster548,8.5
Area of Cluster549,8.5
Area of Cluster550,8.5
Area of Cluster551,8.5
Area of Cluster552,8.5
Area of Cluster553,8.5
Area of Cluster554,9.0
Area of Cluster555,9.0
Area of Cluster556,9.0
Area of Cluster557,9.0
Area of Cluster558,9.0
Area of Cluster559,9.0
Area of Cluster560,9.0
Area of Cluster561,9.0
Area of Cluster562,9.0
Area of Cluster563,9.0
Area of Cluster564,9.5
Area of Cluster565,9.5
Area of Cluster566,10.0
Area of Cluster567,10.0
Area of Cluster568,10.0
Area of Cluster569,10.0
Area of Cluster570,10.0
Area of Cluster571,10.0
Area of Cluster572,10.0
Area of Cluster573,10.0
Area of Cluster574,10.0
Area of Cluster575,10.0
Area of Cluster576,10.0
Area of Cluster577,10.5
Area of Cluster578,10.5
Area of Cluster579,10.5
Area of Cluster580,10.5
Area of Cluster581,10.5
Area of Cluster582,10.5
Area of Cluster583,10.5
Area of Cluster584,10.5
Area of Cluster585,10.5
Area of Cluster586,10.5
Area of Cluster587,10.5
Area of Cluster588,11.0
Area of Cluster589,11.0
Area of Cluster590,11.0
Area of Cluster591,11.0
Area of Cluster592,11.0
Area of Cluster593,11.0
Area of Cluster594,11.0
Area of Cluster595,11.0
Area of Cluster596,11.0
Area of Cluster597,11.0
Area of Cluster598,11.0
Area of Cluster599,11.5
Area of Cluster600,11.5
Area of Cluster601,11.5
Area of Cluster602,11.5
Area of Cluster603,11.5
Area of Cluster604,12.0
Area of Cluster605,12.0
Area of Cluster606,12.5
Area of Cluster607,12.5
Area of Cluster608,12.5
Area of Cluster609,12.5
Area of Cluster610,12.5
Area of Cluster611,13.0
Area of Cluster612,13.0
Area of Cluster613,13.0
Area of Cluster614,13.5
Area of Cluster615,13.5
Area of Cluster616,13.5
Area of Cluster617,13.5
Area of Cluster618,13.5
Area of Cluster619,13.5
Area of Cluster620,14.0
Area of Cluster621,14.0
Area of Cluster622,14.0
Area of Cluster623,14.0
Area of Cluster624,14.5
Area of Cluster625,14.5
Area of Cluster626,15.0
Area of Cluster627,15.0
Area of Cluster628,15.0
Area of Cluster629,15.0
Area of Cluster630,15.0
Area of Cluster631,15.5
Area of Cluster632,15.5
Area of Cluster633,15.5
Area of Cluster634,16.0
Area of Cluster635,16.0
Area of Cluster636,16.0
Area of Cluster637,16.0
Area of Cluster638,16.5
Area of Cluster639,16.5
Area of Cluster640,17.0
Area of Cluster641,17.0
Area of Cluster642,17.0
Area of Cluster643,17.0
Area of Cluster644,17.5
Area of Cluster645,17.5
Area of Cluster646,17.5
Area of Cluster647,17.5
Area of Cluster648,17.5
Area of Cluster649,18.0
Area of Cluster650,20.0
Area of Cluster651,20.0
Area of Cluster652,20.0
Area of Cluster653,20.0
Area of Cluster654,20.5
Area of Cluster655,20.5
Area of Cluster656,21.0
Area of Cluster657,21.5
Area of Cluster658,21.5
Area of Cluster659,21.5
Area of Cluster660,21.5
Area of Cluster661,21.5
Area of Cluster662,21.5
Area of Cluster663,22.0
Area of Cluster664,22.0
Area of Cluster665,22.0
Area of Cluster666,22.5
Area of Cluster667,22.5
Area of Cluster668,22.5
Area of Cluster669,23.5
Area of Cluster670,23.5
Area of Cluster671,23.5
Area of Cluster672,23.5
Area of Cluster673,24.0
Area of Cluster674,24.0
Area of Cluster675,24.5
Area of Cluster676,24.5
Area of Cluster677,25.0
Area of Cluster678,25.5
Area of Cluster679,26.0
Area of Cluster680,26.0
Area of Cluster681,26.0
Area of Cluster682,26.0
Area of Cluster683,26.5
Area of Cluster684,26.5
Area of Cluster685,27.0
Area of Cluster686,27.5
Area of Cluster687,28.0
Area of Cluster688,28.0
Area of Cluster689,28.0
Area of Cluster690,28.0
Area of Cluster691,28.5
Area of Cluster692,29.5
Area of Cluster693,29.5
Area of Cluster694,30.0
Area of Cluster695,30.0
Area of Cluster696,30.5
Area of Cluster697,30.5
Area of Cluster698,31.0
Area of Cluster699,31.0
Area of Cluster700,31.0
Area of Cluster701,31.0
Area of Cluster702,31.5
Area of Cluster703,31.5
Area of Cluster704,31.5
Area of Cluster705,31.5
Area of Cluster706,32.5
Area of Cluster707,33.0
Area of Cluster708,33.0
Area of Cluster709,33.5
Area of Cluster710,33.5
Area of Cluster711,34.0
Area of Cluster712,34.5
Area of Cluster713,35.0
Area of Cluster714,35.0
Area of Cluster715,35.5
Area of Cluster716,35.5
Area of Cluster717,35.5
Area of Cluster718,36.0
Area of Cluster719,36.0
Area of Cluster720,36.0
Area of Cluster721,36.0
Area of Cluster722,36.0
Area of Cluster723,36.5
Area of Cluster724,36.5
Area of Cluster725,36.5
Area of Cluster726,36.5
Area of Cluster727,37.0
Area of Cluster728,37.0
Area of Cluster729,38.0
Area of Cluster730,38.0
Area of Cluster731,38.0
Area of Cluster732,38.5
Area of Cluster733,38.5
Area of Cluster734,39.0
Area of Cluster735,39.5
Area of Cluster736,39.5
Area of Cluster737,40.5
Area of Cluster738,41.0
Area of Cluster739,41.0
Area of Cluster740,41.5
Area of Cluster741,42.0
Area of Cluster742,42.0
Area of Cluster743,42.5
Area of Cluster744,42.5
Area of Cluster745,43.0
Area of Cluster746,43.0
Area of Cluster747,43.5
Area of Cluster748,43.5
Area of Cluster749,44.0
Area of Cluster750,45.0
Area of Cluster751,46.5
Area of Cluster752,47.0
Area of Cluster753,47.0
Area of Cluster754,47.0
Area of Cluster755,47.0
Area of Cluster756,47.5
Area of Cluster757,47.5
Area of Cluster758,48.0
Area of Cluster759,48.0
Area of Cluster760,48.5
Area of Cluster761,48.5
Area of Cluster762,49.5
Area of Cluster763,49.5
Area of Cluster764,49.5
Area of Cluster765,50.0
Area of Cluster766,50.0
Area of Cluster767,50.0
Area of Cluster768,50.5
Area of Cluster769,51.0
Area of Cluster770,51.5
Area of Cluster771,52.5
Area of Cluster772,52.5
Area of Cluster773,53.0
Area of Cluster774,53.0
Area of Cluster775,53.5
Area of Cluster776,54.0
Area of Cluster777,54.5
Area of Cluster778,54.5
Area of Cluster779,55.5
Area of Cluster780,55.5
Area of Cluster781,55.5
Area of Cluster782,56.0
